date,current_return_raw_return_net,current_return_raw_nav_net,current_return_raw_current_execution_scale,current_return_raw_next_session_target_scale,current_return_raw_target_vol_realized_vol,current_return_raw_target_vol_return,current_return_raw_target_vol_return_source,current_return_raw_holding,current_return_raw_next_holding,proposed_overlay_first_return_net,proposed_overlay_first_nav_net,proposed_overlay_first_current_execution_scale,proposed_overlay_first_next_session_target_scale,proposed_overlay_first_target_vol_realized_vol,proposed_overlay_first_target_vol_return,proposed_overlay_first_target_vol_return_source,proposed_overlay_first_holding,proposed_overlay_first_next_holding,constructed_spread_always_return_net,constructed_spread_always_nav_net,constructed_spread_always_current_execution_scale,constructed_spread_always_next_session_target_scale,constructed_spread_always_target_vol_realized_vol,constructed_spread_always_target_vol_return,constructed_spread_always_target_vol_return_source,constructed_spread_always_holding,constructed_spread_always_next_holding
2019-05-15,0.004764527567648225,23.73751801434718,1.5,1.5,0.06970837784473952,0.003217533117489885,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.004764527567648225,23.921465895628376,1.5,1.5,0.06970837784473939,0.003217533117489957,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.004764527567648225,23.73751801434718,1.5,1.5,0.09502848639083518,0.0034575331174898846,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-16,0.005869995351335255,23.876857134743634,1.5,1.5,0.07002530584497821,0.004679610928592766,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.005869995351335255,24.06188478923284,1.5,1.5,0.0700253058449781,0.0046796109285927034,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.005869995351335255,23.876857134743634,1.5,1.5,0.09492150122158934,0.004919610928592766,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-17,-0.013531878810793208,23.55375839761366,1.5,1.5,0.07296062850693964,-0.008980821033625169,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.013531878810793208,23.73628228030567,1.5,1.5,0.07296062850693953,-0.008980821033625186,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.013531878810793208,23.55375839761366,1.5,1.5,0.09717107732043899,-0.008740821033625168,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-20,0.0022147318515715053,23.605923656561075,1.5,1.5,0.07293147649248506,0.0015175648005231596,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0022147318515715053,23.788851780709756,1.5,1.5,0.07293147649248494,0.00151756480052323,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0022147318515715053,23.605923656561075,1.5,1.5,0.09705905229533582,0.0017575648005231596,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-21,-0.004813690753411204,23.492292040129755,1.5,1.5,0.0734092526803833,-0.0031683383372812122,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.004813690753411204,23.674339604858684,1.5,1.5,0.07340925268038319,-0.0031683383372812512,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.004813690753411204,23.492292040129755,1.5,1.5,0.09669303618927215,-0.0029283383372812125,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-22,0.002853150558782769,23.55931908629114,1.5,1.5,0.0733980804323026,0.0019432034383068022,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.002853150558782769,23.7418860601311,1.5,1.5,0.0733980804323025,0.0019432034383068952,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.002853150558782769,23.55931908629114,1.5,1.5,0.0963687332699117,0.002183203438306802,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-23,-0.015456379661746622,23.19517730592119,1.5,1.5,0.0768649060698345,-0.010263900478762248,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.015456379661746622,23.374922455299785,1.5,1.5,0.07686490606983439,-0.010263900478762245,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.015456379661746622,23.19517730592119,1.5,1.5,0.0988926436573242,-0.010023900478762247,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-24,0.010764890772196667,23.44487085606117,1.5,1.5,0.0778796118253853,0.007218021185499098,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.010764890772196667,23.626550942339655,1.5,1.5,0.07787961182538519,0.0072180211854990795,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.010764890772196667,23.44487085606117,1.5,1.5,0.09909580875526335,0.007458021185499097,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-27,0.006960343934566904,23.608055220720857,1.5,1.5,0.07819287759949525,0.004681500693442393,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.006960343934566904,23.790999862885904,1.5,1.5,0.07819287759949514,0.00468150069344242,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.006960343934566904,23.608055220720857,1.5,1.5,0.09911520235403769,0.004921500693442393,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-28,0.006106740751349982,23.752223493597352,1.5,1.5,0.07838943301173858,0.0041123969187434285,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.006106740751349982,23.936285331263953,1.5,1.5,0.07838943301173845,0.004112396918743322,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.006106740751349982,23.752223493597352,1.5,1.5,0.09923445775064488,0.004352396918743428,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
