序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
198,000052,50基本,2861.92,0.21,6.12,41858693,121185785766.0,0.69,2876.08,2856.51,2863.62,2855.8,0.97
199,000869,HK银行,4705.18,0.2,9.45,4491715,5217139421.2,0.79,4727.37,4690.29,4710.21,4695.73,0.42
200,000928,中证能源,3478.15,0.19,6.49,13303082,15686589299.2,1.52,3498.39,3445.68,3457.72,3471.66,0.73
201,000108,380消费,12382.35,0.18,22.26,2408120,3831840228.0,0.84,12443.63,12340.03,12388.7,12360.09,0.93
202,000901,小康指数,6322.67,0.17,10.59,83825801,119609675259.0,0.72,6357.37,6311.87,6329.62,6312.08,0.97
203,000129,180波动,14952.93,0.15,21.97,65517216,81548282876.0,0.61,15016.52,14924.85,14962.04,14930.96,0.92
204,000021,180治理,1060.28,0.14,1.48,55054405,100867049930.0,0.6,1065.39,1059.08,1062.58,1058.8,0.92
205,000041,上证公用,2584.22,0.14,3.57,24515239,14804038788.0,0.68,2594.63,2577.1,2591.13,2580.65,0.87
206,000070,能源等权,3244.19,0.14,4.38,19660325,18160394422.0,1.6,3263.34,3211.63,3216.72,3239.81,0.68
207,000118,380价值,10571.09,0.13,13.28,47817324,43846100884.0,0.95,10661.25,10561.37,10616.01,10557.81,0.93
208,000147,优势消费,6425.05,0.12,7.82,4824761,21441752655.0,1.1,6479.9,6409.02,6429.52,6417.23,0.91
209,000995,全指公用,2711.83,0.1,2.77,35683276,25257210477.0,0.89,2727.2,2703.22,2717.71,2709.06,0.9
210,000986,全指能源,2786.1,0.1,2.8,25746330,24950268315.7,1.41,2800.59,2761.48,2768.43,2783.3,0.69
211,000807,食品饮料,17307.11,0.09,15.67,6041547,17674591464.0,0.59,17383.19,17281.57,17337.12,17291.44,0.96
212,000025,180基建,1718.84,0.06,1.09,24181447,16129349374.0,0.5,1725.47,1716.94,1721.08,1717.75,0.84
213,000987,全指材料,5474.29,0.05,2.82,91519226,179660894937.0,1.47,5545.77,5465.56,5508.85,5471.47,1.06
214,000138,380低贝,8583.45,0.02,2.03,23227717,26084677992.0,0.56,8617.94,8570.11,8605.38,8581.42,0.98
215,000036,上证消费,10305.03,0.02,2.51,3090743,12140876525.0,0.76,10363.54,10285.66,10322.87,10302.52,0.87
216,000923,公司债指,256.15,0.01,0.02,2274632,2287296530.0,0.0,256.15,256.14,256.15,256.13,0.33
217,000815,细分食品,17680.24,0.01,1.22,6314872,17447483633.0,0.69,17776.79,17654.01,17718.37,17679.02,0.97
218,000013,企债指数,305.41,0.01,0.02,3362880,3374324798.0,0.0,305.42,305.41,305.41,305.39,0.41
219,000061,沪企债30,179.03,0.01,0.02,1086148,1084995128.0,0.03,179.04,178.99,179.02,179.01,0.82
220,000101,5年信用,253.73,0.01,0.02,241000,241999970.0,0.0,253.73,253.72,253.72,253.71,0.77
221,000116,信用100,201.05,0.0,0.01,1150881,1149475838.0,0.01,201.06,201.03,201.05,201.04,0.81
222,000012,国债指数,226.33,0.0,0.0,47303127,47182985827.0,0.03,226.37,226.31,226.34,226.33,1.02
