symbol,code,name,change_date,total_shares
sh600510,600510,黑牡丹,2025-06-30,1032025457.0
sh600511,600511,国药股份,2025-12-31,754502997.9999999
sh600512,600512,腾达建设,2025-06-30,1593810979.0
sh600513,600513,联环药业,2025-06-30,285456270.0
sh600515,600515,海南机场,2025-06-30,11425309602.0
sh600516,600516,方大炭素,2025-06-30,4025970368.0
sh600517,600517,国网英大,2025-06-30,5718435744.0
sh600518,600518,康美药业,2025-07-09,13828896690.0
sh600519,600519,贵州茅台,2025-09-01,1252270215.0
sh600520,600520,三佳科技,2025-06-30,158430000.0
sh600521,600521,华海药业,2025-12-31,1497252136.0
sh600522,600522,中天科技,2025-11-05,3412949652.0
sh600523,600523,贵航股份,2025-12-31,404311320.0
sh600526,600526,菲达环保,2025-11-17,888702840.0
sh600527,600527,江南高纤,2025-06-30,1731760902.0
sh600528,600528,中铁工业,2025-12-31,2221551588.0
sh600529,600529,山东药玻,2025-12-31,663614113.0000001
sh600530,600530,交大昂立,2025-06-30,774920000.0
sh600531,600531,豫光金铅,2025-12-18,1209262698.0
sh600533,600533,栖霞建设,2025-06-30,1050000000.0
sh600535,600535,天士力,2025-12-31,1493950005.0
sh600536,600536,中国软件,2025-07-30,933786584.0
sh600537,600537,亿晶光电,2025-06-30,1183715018.0
sh600538,600538,国发股份,2025-06-30,524198347.99999994
sh600539,600539,狮头股份,2025-12-31,230000000.0
sh600540,600540,新赛股份,2025-06-30,581376960.0
sh600543,600543,莫高股份,2025-06-30,321120000.0
sh600545,600545,卓郎智能,2025-06-30,1787912222.0
sh600546,600546,山煤国际,2025-06-30,1982456140.0
sh600547,600547,山东黄金,2025-12-31,4609929525.0
sh600548,600548,深高速,2025-12-31,2537856127.0
sh600549,600549,厦门钨业,2025-06-30,1587585826.0
sh600550,600550,保变电气,2025-06-30,1841528480.0
sh600551,600551,时代出版,2025-06-30,678055239.0
sh600552,600552,凯盛科技,2025-06-30,944606894.0
sh600556,600556,天下秀,2025-06-30,1807747642.0
sh600557,600557,康缘药业,2025-06-30,566158806.0
sh600558,600558,大西洋,2025-06-30,897604831.0
sh600559,600559,老白干酒,2025-06-30,914747444.0
sh600560,600560,金自天正,2025-12-31,223645500.0
sh600561,600561,江西长运,2025-06-30,284476800.0
sh600562,600562,国睿科技,2025-06-30,1241857840.0
sh600563,600563,法拉电子,2025-12-31,225000000.0
sh600566,600566,济川药业,2025-12-31,921344260.0000001
sh600567,600567,山鹰国际,2025-12-22,6307453306.0
sh600569,600569,安阳钢铁,2025-06-30,2872421386.0
sh600570,600570,恒生电子,2026-03-25,1893647942.0
sh600571,600571,信雅达,2025-06-30,466318309.0
sh600572,600572,康恩贝,2026-03-09,2536675041.0
sh600573,600573,惠泉啤酒,2025-06-30,250000000.0
sh600575,600575,淮河能源,2025-12-31,7166792169.999999
sh600576,600576,祥源文旅,2025-06-30,1054548440.0
sh600577,600577,精达股份,2025-12-31,2149266059.0
sh600578,600578,京能电力,2025-06-30,6694621015.0
sh600579,600579,中化装备,2025-09-30,493600759.00000006
sh600580,600580,卧龙电驱,2025-12-31,1562117511.0
sh600581,600581,八一钢铁,2025-09-23,1532897870.0
