date,return_raw,return,holding,next_holding,signal_on,microcap_ret,microcap_mom,hedge_ret,hedge_mom,momentum_gap,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2015-06-10,0.0279046081807756,0.0279046081807756,long_microcap,long_microcap,True,0.0279046081807756,0.3236405454173585,0.0252073020218726,0.2223286249425256,0.1013119204748329,0.0,0.0,0.0,0.02790460818077567,12.762396546806906
2015-06-11,0.0299564431330134,0.0299564431330134,long_microcap,long_microcap,True,0.0299564431330134,0.3369550155230583,0.0212331651432289,0.2173120338400491,0.1196429816830091,0.0,0.0,0.0,0.02995644313301349,13.144712553202295
2015-06-12,0.0224971058649474,0.0224971058649474,long_microcap,long_microcap,True,0.0224971058649474,0.3179553077847872,0.0160784026953975,0.1922994108556697,0.1256558969291175,0.0,0.0,0.0,0.022497105864947464,13.44043054307599
2015-06-15,-0.0095897265180009,-0.0095897265180009,long_microcap,long_microcap,True,-0.0095897265180009,0.278471883763695,-0.0198955907969564,0.1592530792627897,0.1192188045009052,0.0,0.0,0.0,-0.00958972651800094,13.311540489883704
2015-06-16,-0.0483645603925104,-0.0483645603925104,long_microcap,long_microcap,True,-0.0483645603925104,0.1914762392561899,-0.0411727670661379,0.0950739524471049,0.096402286809085,0.0,0.0,0.0,-0.04836456039251036,12.667733685943377
2015-06-17,0.0210971397348347,0.0210971397348347,long_microcap,long_microcap,True,0.0210971397348347,0.1638901968589841,0.0216341824195056,0.0750672881979448,0.0888229086610392,0.0,0.0,0.0,0.021097139734834736,12.934986633639397
2015-06-18,-0.0303829035710427,-0.0303829035710427,long_microcap,long_microcap,True,-0.0303829035710427,0.1050775242897239,-0.032837497076137,0.0258905728305804,0.0791869514591434,0.0,0.00156,0.00156,-0.03189550624147186,12.522418686732797
2015-06-19,-0.0638560054341249,-0.0638560054341249,long_microcap,long_microcap,True,-0.0638560054341249,0.0779946593642151,-0.0652702951943454,0.0160488462819612,0.0619458130822538,0.0,0.0,0.0,-0.06385600543412484,11.722787051024401
2015-06-23,0.0065734695139023,0.0065734695139023,long_microcap,long_microcap,True,0.0065734695139023,0.0634440539941969,0.001712128936361,0.0015206632886091,0.0619233907055878,0.0,0.0,0.0,0.0065734695139023636,11.79984643432228
2015-06-24,0.0191067500635202,0.0191067500635202,long_microcap,long_microcap,True,0.0191067500635202,0.0334765729422936,0.0204468146749219,-0.027563750943126,0.0610403238854196,0.0,0.0,0.0,0.01910675006352025,12.025303150930796
2015-06-25,-0.0310619067891265,-0.0310619067891265,long_microcap,cash,False,-0.0310619067891265,-0.0424488691065018,-0.0415591653466068,-0.1061786230625259,0.0637297539560241,0.003,0.0,0.003,-0.033968721068759034,11.616818982429558
