date,A_1_100,B_101_200,C_201_300,D_301_400
2017-09-27,344806.615317943,10251.225205495759,5789.671624422641,2746.5021101152624
2017-09-28,342855.2354198323,10174.200864445203,5772.854550756553,2730.4950820642807
2017-09-29,346550.23361447046,10303.983112316175,5784.391738920985,2752.2699872751537
2017-10-09,350448.41844941454,10433.952799433593,5860.203164909804,2799.9107447168403
2017-10-10,357961.8000140157,10638.297710304572,6002.662179100878,2853.17369095966
2017-10-11,357200.8904664237,10616.972417073399,5959.363297760869,2861.6850097368047
2017-10-12,357476.0401825536,10633.930447162089,5988.510511839466,2858.16070786162
2017-10-13,364350.3568882017,10751.088198385809,6059.667952554059,2876.977220219674
2017-10-16,352876.8557975377,10413.86898433603,5860.934096824435,2803.7544615449215
2017-10-17,356996.2975846645,10508.77566901577,5892.148709264043,2812.9582773428724
2017-10-18,353007.5483304461,10358.723040538824,5813.073553035945,2764.223045880752
2017-10-19,348986.6306029332,10245.062852163946,5741.894268978958,2723.924075371204
2017-10-20,355541.71178235573,10394.151543596794,5819.41122897606,2759.1171321182687
2017-10-23,359621.2293872805,10495.73858191013,5887.886886924204,2791.875643811893
2017-10-24,356368.9309975508,10382.115769584554,5829.022521599751,2760.5259821935992
2017-10-25,363453.7892176133,10509.406185075999,5921.671033732512,2788.9541520286793
2017-10-26,366109.0901143116,10564.111278271217,5940.925096373252,2796.5874537713103
2017-10-27,364430.66780632647,10486.003083828913,5895.235142176449,2775.550866533173
2017-10-30,348517.2322333167,10084.526965642095,5660.63446046446,2667.8445995863713
2017-10-31,353421.9094544906,10225.68862307341,5758.336261515311,2702.967713057987
2017-11-01,354746.29180857027,10259.039806705763,5806.929586165099,2715.617226797914
2017-11-02,351798.22205480596,10093.704483196034,5736.6792530435205,2701.626173315628
2017-11-03,353216.0349636387,10036.06452141844,5697.430424758819,2686.8340492434936
2017-11-06,361252.2428717805,10191.81155559389,5788.321551665838,2724.52343236918
2017-11-07,366547.8969763994,10210.468735202441,5787.61881107154,2744.997862306175
2017-11-08,372294.76124526263,10314.810648533903,5825.60374010705,2763.902696112817
2017-11-09,378397.9610745846,10396.546343695598,5861.048693111092,2778.984619820703
2017-11-10,381805.8820669624,10458.876466580072,5872.41192570009,2785.6108658140956
2017-11-13,383452.0201812491,10502.33468936602,5886.365537198047,2784.948349995357
2017-11-14,382258.28498353466,10411.059434145454,5817.596784170339,2748.1750995802904
2017-11-15,382540.2974552913,10292.627409480454,5783.7656870367155,2724.2359417374287
2017-11-16,377878.76025211194,10126.848071609968,5708.32558757689,2692.4013356648693
2017-11-17,357787.6902120886,9477.81063089447,5378.029633249622,2552.5419299222217
2017-11-20,355637.84553101007,9475.545897731907,5388.372066561214,2561.5297981983804
2017-11-21,352738.0187467888,9414.23940246577,5347.5997907465,2541.73076220098
2017-11-22,351835.32169135025,9414.852644138693,5338.986315468169,2540.092289106698
2017-11-23,344298.0584646775,9233.671811600778,5219.665559811751,2480.154703336205
2017-11-24,345082.8537120258,9266.91409242909,5221.180309076998,2486.4506751689705
2017-11-27,340254.3468147621,9139.009003508454,5161.860137792516,2458.2966062031855
2017-11-28,345800.9041615566,9287.3135142898,5251.562781373768,2494.3349352076275
2017-11-29,344492.7408556005,9240.932474523805,5243.408371529336,2489.3886646474966
2017-11-30,345425.821472065,9224.999671404013,5243.30524942012,2492.50740060821
2017-12-01,348259.87482444034,9328.153175194866,5287.513666242225,2504.4346182701215
2017-12-04,336794.00856892765,9034.055523780287,5129.253203384698,2424.747669243999
2017-12-05,323962.5660759517,8712.86527497124,4925.779297196029,2335.8188782484735
2017-12-06,329555.50657253724,8870.894175385798,5008.608798301868,2373.496635963401
2017-12-07,330565.39841583907,8901.549874946944,5026.038404414229,2373.2659126669355
2017-12-08,336817.71394962195,9060.439879259588,5111.470988408099,2411.127177318476
2017-12-11,339947.04706193984,9140.772043831248,5152.288457624857,2433.8617003246854
2017-12-12,334199.9077603327,9010.127649977967,5041.678596184006,2395.1138384936057
2017-12-13,337432.569145097,9089.748403861753,5102.9349514965,2425.1182667529424
2017-12-14,339603.5879741471,9117.813534050041,5107.973247249669,2428.7085895629903
2017-12-15,339640.8100019656,9131.127303667645,5110.795387216043,2422.2371131953587
2017-12-18,335179.11568749556,9047.766400617307,5071.612891040194,2415.148936600817
2017-12-19,338048.32577002683,9141.164271315329,5118.730810049476,2439.5584504455433
2017-12-20,334422.216446607,8989.852005073048,5041.436737006041,2403.36180002758
2017-12-21,333062.4657399241,8957.234200992245,5037.350300024986,2404.8600658112227
2017-12-22,333453.9196618839,8907.559485578648,5023.639217945931,2398.6391344480635
2017-12-25,328174.4004399949,8810.123420584932,4945.3338021700765,2358.794262521595
2017-12-26,334966.94999808824,8989.256624660684,5051.494350313728,2396.6457396405526
2017-12-27,334957.6935482906,8974.266164500154,5048.123082856321,2390.0709145058527
2017-12-28,337099.13974258717,9017.994511772156,5084.629869928234,2402.073709236002
2017-12-29,340485.516520663,9082.28869938878,5113.306172011698,2421.1395693528666
2018-01-02,342259.64929429867,9125.010217085914,5169.727407193849,2447.71859614309
2018-01-03,346069.8149749887,9221.863414408432,5194.647969902337,2468.9411152024027
2018-01-04,347528.21690911026,9258.918153299514,5188.723493939001,2467.16453934475
2018-01-05,349175.5407770475,9302.737612929806,5195.335076103733,2473.6501724280924
2018-01-08,350365.7026386395,9290.952365952786,5208.365821228522,2478.945148991223
2018-01-09,351990.2001388419,9344.334817097917,5222.663269769673,2480.7828743254313
2018-01-10,348466.6185835871,9227.025127654315,5168.76087149404,2451.7123059683713
2018-01-11,353519.44260526914,9347.522835232267,5241.752054425918,2478.2634787449547
2018-01-12,353164.3089120096,9336.776413373036,5227.8590707401645,2463.926227092475
2018-01-15,343272.85211781575,9043.605683333666,5096.6212066972375,2393.527916727539
2018-01-16,348383.92204450193,9145.910543124997,5171.462059741282,2418.575957933641
2018-01-17,351071.76807685726,9182.480029749568,5184.51668098204,2435.42404216368
2018-01-18,352660.76773603196,9213.762635681323,5206.8969435886775,2442.769442770539
2018-01-19,351085.0190131982,9182.50057530579,5206.891724740591,2438.6416613997826
2018-01-22,350049.02714625635,9171.131136021722,5183.393005923989,2437.8533497809854
2018-01-23,352286.55514833675,9206.524524979566,5189.537716593813,2451.3790265871403
2018-01-24,354931.0265626229,9279.042799433886,5233.045540752255,2469.310436649255
2018-01-25,353063.1090733752,9231.487094361066,5217.372422578493,2461.4784494723394
2018-01-26,352058.2928617478,9155.381425917,5169.399850381615,2444.646539700999
2018-01-29,348321.61834723724,9049.854654184855,5127.212799436219,2414.0864205102566
2018-01-30,347900.64823912387,9067.027922891682,5134.665734095359,2408.5132558353325
2018-01-31,334519.92593066895,8730.462574093975,4954.842865664908,2312.87848091027
2018-02-01,318266.0996660106,8269.757746908297,4707.343856254315,2189.614930275846
2018-02-02,311777.6361623018,8112.611139010856,4608.228883033072,2154.1321256741307
2018-02-05,308348.81830069714,7999.077253937944,4550.196031001917,2129.492947910357
2018-02-06,285661.32498863427,7442.632989079898,4247.672290200402,1991.2580273011897
2018-02-07,289931.41190527,7533.790968471371,4316.311200910161,2008.503001993142
2018-02-08,295966.89130874886,7681.038846223081,4386.836751204135,2049.3436261543384
2018-02-09,287087.7715339523,7466.609948436047,4266.9282146103,1987.1994051545053
2018-02-12,295936.2483336419,7696.336678996571,4393.284511886477,2051.5172510651782
2018-02-13,294370.26161984407,7652.97172391706,4364.359323868802,2048.216133073753
2018-02-14,293655.3523372514,7664.549503187969,4375.035493247447,2051.7553400254337
2018-02-22,298495.491676452,7796.050704930831,4438.171387312141,2087.743213926429
2018-02-23,300780.7049144357,7835.082435134762,4470.652028726003,2097.0210588650325
