rebalance_date,entry_count,exit_count,turnover_frac_one_side,two_side_cost_rate,effective_date,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,holding_count_after
2020-03-12,14,14,0.14,0.00084,,,,,,
2020-03-26,15,15,0.15,0.0009,,,,,,
2020-04-09,16,16,0.16,0.00096,,,,,,
2020-04-23,16,16,0.16,0.00096,,,,,,
2020-05-07,10,10,0.1,0.0006,,,,,,
2020-05-21,15,15,0.15,0.0009,,,,,,
2020-06-04,12,12,0.12,0.0007199999999999,,,,,,
2020-06-18,10,10,0.1,0.0006,,,,,,
2020-07-02,9,9,0.09,0.00054,,,,,,
2020-07-16,12,12,0.12,0.0007199999999999,,,,,,
2020-07-30,12,12,0.12,0.0007199999999999,,,,,,
2020-08-13,13,13,0.13,0.00078,,,,,,
2020-08-27,20,20,0.2,0.0012,,,,,,
2020-09-10,14,14,0.14,0.00084,,,,,,
2020-09-24,14,14,0.14,0.00084,,,,,,
2020-10-15,11,11,0.11,0.00066,,,,,,
2020-10-29,13,13,0.13,0.00078,,,,,,
2020-11-12,8,8,0.08,0.00048,,,,,,
2020-11-26,10,10,0.1,0.0006,,,,,,
2020-12-10,4,4,0.04,0.00024,,,,,,
2020-12-24,13,13,0.13,0.00078,,,,,,
2021-01-07,12,12,0.12,0.0007199999999999,,,,,,
2021-01-21,11,11,0.11,0.00066,,,,,,
2021-02-04,13,13,0.13,0.00078,,,,,,
2021-02-25,10,10,0.1,0.0006,,,,,,
2021-03-11,9,9,0.09,0.00054,,,,,,
2021-03-25,14,14,0.14,0.00084,,,,,,
2021-04-08,9,9,0.09,0.00054,,,,,,
2021-04-22,9,9,0.09,0.00054,,,,,,
2021-05-06,12,12,0.12,0.0007199999999999,,,,,,
2021-05-20,13,13,0.13,0.00078,,,,,,
2021-06-03,13,13,0.13,0.00078,,,,,,
2021-06-17,11,11,0.11,0.00066,,,,,,
2021-07-01,8,8,0.08,0.00048,,,,,,
2021-07-15,12,12,0.12,0.0007199999999999,,,,,,
2021-07-29,9,9,0.09,0.00054,,,,,,
2021-08-12,13,13,0.13,0.00078,,,,,,
2021-08-26,7,7,0.07,0.00042,,,,,,
2021-09-09,11,11,0.11,0.00066,,,,,,
2021-09-23,7,7,0.07,0.00042,,,,,,
2021-10-08,15,15,0.15,0.0009,,,,,,
2021-10-21,13,13,0.13,0.00078,,,,,,
2021-11-04,15,15,0.15,0.0009,,,,,,
2021-11-18,12,12,0.12,0.0007199999999999,,,,,,
2021-12-02,10,10,0.1,0.0006,,,,,,
2021-12-16,11,11,0.11,0.00066,,,,,,
2021-12-30,15,15,0.15,0.0009,,,,,,
2022-01-13,9,9,0.09,0.00054,,,,,,
2022-01-27,8,8,0.08,0.00048,,,,,,
2022-02-10,8,8,0.08,0.00048,,,,,,
2022-02-24,13,13,0.13,0.00078,,,,,,
2022-03-10,14,14,0.14,0.00084,,,,,,
2022-03-24,17,17,0.17,0.00102,,,,,,
2022-04-07,14,14,0.14,0.00084,,,,,,
2022-04-21,18,18,0.18,0.00108,,,,,,
2022-05-05,17,17,0.17,0.00102,,,,,,
2022-05-19,11,11,0.11,0.00066,,,,,,
2022-06-02,15,15,0.15,0.0009,,,,,,
2022-06-16,9,9,0.09,0.00054,,,,,,
2022-06-30,12,12,0.12,0.0007199999999999,,,,,,
2022-07-14,14,14,0.14,0.00084,,,,,,
2022-07-28,12,12,0.12,0.0007199999999999,,,,,,
2022-08-11,18,18,0.18,0.00108,,,,,,
2022-08-25,17,17,0.17,0.00102,,,,,,
2022-09-08,16,16,0.16,0.00096,,,,,,
2022-09-22,10,10,0.1,0.0006,,,,,,
2022-10-10,12,12,0.12,0.0007199999999999,,,,,,
2022-10-20,14,14,0.14,0.00084,,,,,,
2022-11-03,13,13,0.13,0.00078,,,,,,
2022-11-17,11,11,0.11,0.00066,,,,,,
2022-12-01,14,14,0.14,0.00084,,,,,,
2022-12-15,11,11,0.11,0.00066,,,,,,
2022-12-29,8,8,0.08,0.00048,,,,,,
2023-01-12,10,10,0.1,0.0006,,,,,,
2023-01-30,6,6,0.06,0.0003599999999999,,,,,,
2023-02-09,11,11,0.11,0.00066,,,,,,
2023-02-23,8,8,0.08,0.00048,,,,,,
2023-03-09,18,18,0.18,0.00108,,,,,,
2023-03-23,10,10,0.1,0.0006,,,,,,
2023-04-06,12,12,0.12,0.0007199999999999,,,,,,
2023-04-20,13,13,0.13,0.00078,,,,,,
2023-05-04,17,17,0.17,0.00102,,,,,,
2023-05-18,12,12,0.12,0.0007199999999999,,,,,,
2023-06-01,11,11,0.11,0.00066,,,,,,
2023-06-15,11,11,0.11,0.00066,,,,,,
2023-06-29,7,7,0.07,0.00042,,,,,,
2023-07-13,10,10,0.1,0.0006,,,,,,
2023-07-27,14,14,0.14,0.00084,,,,,,
2023-08-10,12,12,0.12,0.0007199999999999,,,,,,
2023-08-24,11,11,0.11,0.00066,,,,,,
2023-09-07,13,13,0.13,0.00078,,,,,,
2023-09-21,13,13,0.13,0.00078,,,,,,
2023-10-09,13,13,0.13,0.00078,,,,,,
2023-10-19,10,10,0.1,0.0006,,,,,,
2023-11-02,13,13,0.13,0.00078,,,,,,
2023-11-16,11,11,0.11,0.00066,,,,,,
2023-11-30,7,7,0.07,0.00042,,,,,,
2023-12-14,13,13,0.13,0.00078,,,,,,
2023-12-28,10,10,0.1,0.0006,,,,,,
2024-01-11,9,9,0.09,0.00054,,,,,,
2024-01-25,12,12,0.12,0.0007199999999999,,,,,,
2024-02-08,25,25,0.25,0.0015,,,,,,
2024-02-22,10,10,0.1,0.0006,,,,,,
2024-03-07,6,6,0.06,0.0003599999999999,,,,,,
2024-03-21,7,7,0.07,0.00042,,,,,,
2024-04-08,14,14,0.14,0.00084,,,,,,
2024-04-18,14,14,0.14,0.00084,,,,,,
2024-05-06,10,10,0.1,0.0006,,,,,,
2024-05-16,12,12,0.12,0.0007199999999999,,,,,,
2024-05-30,14,14,0.14,0.00084,,,,,,
2024-06-13,11,11,0.11,0.00066,,,,,,
2024-06-27,10,10,0.1,0.0006,,,,,,
2024-07-11,11,11,0.11,0.00066,,,,,,
2024-07-25,9,9,0.09,0.00054,,,,,,
2024-08-08,14,14,0.14,0.00084,,,,,,
2024-08-22,10,10,0.1,0.0006,,,,,,
2024-09-05,10,10,0.1,0.0006,,,,,,
2024-09-19,12,12,0.12,0.0007199999999999,,,,,,
2024-10-08,25,25,0.25,0.0015,,,,,,
2024-10-17,13,13,0.13,0.00078,,,,,,
2024-10-31,12,12,0.12,0.0007199999999999,,,,,,
2024-11-14,12,12,0.12,0.0007199999999999,,,,,,
2024-11-28,9,9,0.09,0.00054,,,,,,
2024-12-12,14,14,0.14,0.00084,,,,,,
2024-12-26,17,17,0.17,0.00102,,,,,,
2025-01-09,9,9,0.09,0.00054,,,,,,
2025-01-23,8,8,0.08,0.00048,,,,,,
2025-02-06,5,5,0.05,0.0003,,,,,,
2025-02-20,12,12,0.12,0.0007199999999999,,,,,,
2025-03-06,5,5,0.05,0.0003,,,,,,
2025-03-20,8,8,0.08,0.00048,,,,,,
2025-04-03,10,10,0.1,0.0006,,,,,,
2025-04-17,14,14,0.14,0.00084,,,,,,
2025-05-06,17,17,0.17,0.00102,,,,,,
2025-05-15,7,7,0.07,0.00042,,,,,,
2025-05-29,9,9,0.09,0.00054,,,,,,
2025-06-12,9,9,0.09,0.00054,,,,,,
