label,dd_moderate,dd_severe,hedge_ratio_moderate,hedge_ratio_severe,recover_dd,annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days,latest_nav,hedge_ratio_mean_live,hedge_ratio_median_live,hedge_ratio_max_live,hedge_ratio_mean_active,hedge_ratio_median_active,share_above_0p8,share_above_1p0,moderate_or_worse_share,severe_share,recovery_band_share,n_ratio_changes
dd4_10_hr90_130_rec2,0.04,0.1,0.9,1.3,0.02,0.23619640915897255,0.10889236461424542,2.169081459436625,-0.1492382715344957,29.923725012315483,2010-02-02,2026-04-10,3928,30.923725012315483,0.6454684317718943,0.8,1.3,0.8553981106612686,0.8,0.30091649694501016,0.029276985743380855,0.5985234215885947,0.05626272912423625,0.18075356415478616,310
dd4_8_hr90_130_rec2,0.04,0.08,0.9,1.3,0.02,0.23677269019036906,0.10916266698140333,2.1689896073234,-0.17659791799946056,30.15784960912888,2010-02-02,2026-04-10,3928,31.15784960912888,0.6571028513238291,0.8,1.3,0.870816464237517,0.8,0.29709775967413443,0.05931771894093686,0.590122199592668,0.1364562118126273,0.18355397148676172,322
dd3_8_hr90_130_rec2,0.03,0.08,0.9,1.3,0.02,0.236386612215975,0.10915718978605919,2.1655615418395895,-0.18106436678860618,30.00081534376954,2010-02-02,2026-04-10,3928,31.00081534376954,0.6600050916496945,0.8,1.3,0.8746626180836707,0.8,0.33019348268839105,0.05829938900203666,0.5903767820773931,0.12856415478615071,0.0835030549898167,352
dd3_8_hr90_120_rec2,0.03,0.08,0.9,1.2,0.02,0.23540002629191847,0.10871518002964174,2.165291233733279,-0.17272031450993386,29.602895565003628,2010-02-02,2026-04-10,3928,30.602895565003628,0.6554480651731162,0.8,1.2,0.8686234817813766,0.8,0.33223014256619143,0.06186354378818737,0.5924134419551935,0.1280549898167006,0.0855397148676171,359
dd4_10_hr90_130_rec3,0.04,0.1,0.9,1.3,0.03,0.23586890854908527,0.10895083254447788,2.1649114838364785,-0.1492382715344957,29.791408539150858,2010-02-02,2026-04-10,3928,30.791408539150858,0.6435081466395113,0.8,1.3,0.8528002699055333,0.8,0.2813136456211813,0.029276985743380855,0.5117107942973523,0.05626272912423625,0.0980142566191446,321
dd3_8_hr90_130_rec3,0.03,0.08,0.9,1.3,0.03,0.23672168867774301,0.10935498149083275,2.1647087809857792,-0.18106436678860563,30.137062436403756,2010-02-02,2026-04-10,3928,31.137062436403756,0.6575610997963341,0.8,1.3,0.8714237516869098,0.8,0.3037169042769857,0.05880855397148676,0.5112016293279023,0.12932790224032586,0.0,389
dd5_6_hr90_130_rec2,0.05,0.06,0.9,1.3,0.02,0.24110518234865919,0.11180538778165539,2.156471947662426,-0.17388344954300544,31.97200047939161,2010-02-02,2026-04-10,3928,32.97200047939161,0.6751272912423627,0.8,1.3,0.8947031039136303,0.8,0.2359979633401222,0.11965376782077393,0.570010183299389,0.20162932790224034,0.3014256619144603,325
dd4_8_hr90_110_rec2,0.04,0.08,0.9,1.1,0.02,0.23350772667554653,0.10838555179531588,2.1544174736179005,-0.15975446770491375,28.853048675488505,2010-02-02,2026-04-10,3928,29.853048675488505,0.6488798370672099,0.8,1.1,0.859919028340081,0.8,0.3029531568228106,0.07459266802443992,0.6033604887983707,0.15707739307535643,0.18966395112016293,331
dd5_8_hr100_130_rec3,0.05,0.08,1.0,1.3,0.03,0.23710290575711923,0.11030238525126404,2.1495718811248654,-0.17591930088534688,30.29275409430969,2010-02-02,2026-04-10,3928,31.29275409430969,0.67449083503055,0.8,1.3,0.893859649122807,0.8,0.23879837067209775,0.07688391038696538,0.4875254582484725,0.155040733197556,0.14893075356415478,308
dd5_6_hr90_120_rec3,0.05,0.06,0.9,1.2,0.03,0.2390104839314624,0.11128548015467254,2.147723886344099,-0.16698445774297171,31.082854487743944,2010-02-02,2026-04-10,3928,32.082854487743944,0.6782841140529531,0.8,1.2,0.8988866396761134,0.8,0.23523421588594703,0.17031568228105906,0.4719959266802444,0.2815682281059063,0.13365580448065173,328
dd5_8_hr90_110_rec3,0.05,0.08,0.9,1.1,0.03,0.2326531309787665,0.10858148185322315,2.1426593836070436,-0.1597544677049136,28.52008605601802,2010-02-02,2026-04-10,3928,29.52008605601802,0.6456720977596742,0.8,1.1,0.8556680161943321,0.8,0.2606924643584521,0.07968431771894094,0.5119653767820774,0.16267820773930752,0.17031568228105906,324
