date,return,holding,signal_on,weight,nav
2018-05-11,-0.011634557997868644,long_microcap_short_zz1000,True,1.0,4.156278857875278
2018-05-14,-0.003928317373005174,long_microcap_short_zz1000,True,1.0,4.139951675430832
2018-05-15,0.00803001061563765,long_microcap_short_zz1000,True,1.0,4.173195531332769
2018-05-16,-0.0038700962110819522,long_microcap_short_zz1000,False,1.0,4.157044863118854
2018-05-17,0.0,cash,False,0.0,4.157044863118854
2018-05-18,0.0,cash,True,0.0,4.157044863118854
2018-05-21,0.005055549590116748,long_microcap_short_zz1000,True,1.0,4.1780610095726916
2018-05-22,0.004241148325833966,long_microcap_short_zz1000,True,1.0,4.195780786028673
2018-05-23,0.0005980646211856903,long_microcap_short_zz1000,True,1.0,4.198290134075047
2018-05-24,0.006127170412280692,long_microcap_short_zz1000,True,1.0,4.224013773166722
2018-05-25,0.010430803635712438,long_microcap_short_zz1000,True,1.0,4.268073631389169
2018-05-28,-0.010150352171519527,long_microcap_short_zz1000,True,1.0,4.224751180936592
2018-05-29,-0.003262511870424289,long_microcap_short_zz1000,True,1.0,4.210967880059198
2018-05-30,-0.026451668265874896,long_microcap_short_zz1000,False,1.0,4.099580754617618
2018-05-31,0.0,cash,False,0.0,4.099580754617618
2018-06-01,0.0,cash,False,0.0,4.099580754617618
2018-06-04,0.0,cash,False,0.0,4.099580754617618
2018-06-05,0.0,cash,False,0.0,4.099580754617618
2018-06-06,0.0,cash,False,0.0,4.099580754617618
2018-06-07,0.0,cash,False,0.0,4.099580754617618
2018-06-08,0.0,cash,False,0.0,4.099580754617618
2018-06-11,0.0,cash,False,0.0,4.099580754617618
2018-06-12,0.0,cash,False,0.0,4.099580754617618
2018-06-13,0.0,cash,False,0.0,4.099580754617618
2018-06-14,0.0,cash,False,0.0,4.099580754617618
2018-06-15,0.0,cash,False,0.0,4.099580754617618
2018-06-18,0.0,cash,False,0.0,4.099580754617618
2018-06-19,0.0,cash,False,0.0,4.099580754617618
2018-06-20,0.0,cash,False,0.0,4.099580754617618
2018-06-21,0.0,cash,False,0.0,4.099580754617618
2018-06-22,0.0,cash,False,0.0,4.099580754617618
2018-06-25,0.0,cash,False,0.0,4.099580754617618
2018-06-26,0.0,cash,False,0.0,4.099580754617618
2018-06-27,0.0,cash,False,0.0,4.099580754617618
2018-06-28,0.0,cash,True,0.0,4.099580754617618
2018-06-29,-8.540013260275285e-05,long_microcap_short_zz1000,True,1.0,4.0992306498775575
2018-07-02,-0.0011957994935021584,long_microcap_short_zz1000,True,1.0,4.094328791942686
2018-07-03,0.009860038106064029,long_microcap_short_zz1000,True,1.0,4.134699029849996
2018-07-04,-0.003482343637530338,long_microcap_short_zz1000,True,1.0,4.120300586990295
2018-07-05,-0.0009092813129121576,long_microcap_short_zz1000,True,1.0,4.116554074662964
2018-07-06,0.0017500761542814328,long_microcap_short_zz1000,True,1.0,4.1237583577868415
2018-07-09,5.7030278309578035e-05,long_microcap_short_zz1000,True,1.0,4.123993536873668
2018-07-10,0.0045811899881708865,long_microcap_short_zz1000,True,1.0,4.142886334776075
2018-07-11,-0.004137595755226797,long_microcap_short_zz1000,True,1.0,4.125744745862919
2018-07-12,0.00011121860890092068,long_microcap_short_zz1000,True,1.0,4.126203605454235
2018-07-13,0.0002924998677997451,long_microcap_short_zz1000,True,1.0,4.127410519463345
2018-07-16,0.0009902452665324305,long_microcap_short_zz1000,True,1.0,4.13149766819328
2018-07-17,0.005227377465599281,long_microcap_short_zz1000,True,1.0,4.153094566003169
2018-07-18,0.0028516447166247686,long_microcap_short_zz1000,True,1.0,4.164937716179955
2018-07-19,-0.0020336117412577456,long_microcap_short_zz1000,True,1.0,4.156467849938724
2018-07-20,0.0012273915012630202,long_microcap_short_zz1000,True,1.0,4.161569463253012
2018-07-23,-0.0011831803211144517,long_microcap_short_zz1000,False,1.0,4.15664557615914
2018-07-24,0.0,cash,False,0.0,4.15664557615914
2018-07-25,0.0,cash,False,0.0,4.15664557615914
2018-07-26,0.0,cash,False,0.0,4.15664557615914
2018-07-27,0.0,cash,False,0.0,4.15664557615914
2018-07-30,0.0,cash,False,0.0,4.15664557615914
2018-07-31,0.0,cash,True,0.0,4.15664557615914
2018-08-01,0.001512282941195731,long_microcap_short_zz1000,True,1.0,4.162931600356562
2018-08-02,-0.01024464283194918,long_microcap_short_zz1000,False,1.0,4.1202838529770744
2018-08-03,0.0,cash,False,0.0,4.1202838529770744
2018-08-06,0.0,cash,False,0.0,4.1202838529770744
2018-08-07,0.0,cash,False,0.0,4.1202838529770744
2018-08-08,0.0,cash,False,0.0,4.1202838529770744
2018-08-09,0.0,cash,False,0.0,4.1202838529770744
2018-08-10,0.0,cash,False,0.0,4.1202838529770744
2018-08-13,0.0,cash,False,0.0,4.1202838529770744
2018-08-14,0.0,cash,False,0.0,4.1202838529770744
2018-08-15,0.0,cash,True,0.0,4.1202838529770744
2018-08-16,0.002181520271980231,long_microcap_short_zz1000,True,1.0,4.129272335728657
2018-08-17,-0.0021435722052329017,long_microcap_short_zz1000,False,1.0,4.120420942321951
2018-08-20,0.0,cash,False,0.0,4.120420942321951
2018-08-21,0.0,cash,False,0.0,4.120420942321951
2018-08-22,0.0,cash,False,0.0,4.120420942321951
2018-08-23,0.0,cash,False,0.0,4.120420942321951
2018-08-24,0.0,cash,False,0.0,4.120420942321951
2018-08-27,0.0,cash,False,0.0,4.120420942321951
2018-08-28,0.0,cash,False,0.0,4.120420942321951
2018-08-29,0.0,cash,False,0.0,4.120420942321951
2018-08-30,0.0,cash,False,0.0,4.120420942321951
2018-08-31,0.0,cash,False,0.0,4.120420942321951
2018-09-03,0.0,cash,False,0.0,4.120420942321951
2018-09-04,0.0,cash,False,0.0,4.120420942321951
2018-09-05,0.0,cash,True,0.0,4.120420942321951
2018-09-06,0.002128721556351987,long_microcap_short_zz1000,True,1.0,4.129192171203116
2018-09-07,0.0024869077256506004,long_microcap_short_zz1000,True,1.0,4.139461091114377
2018-09-10,-0.0024622144694896094,long_microcap_short_zz1000,True,1.0,4.129268850119947
2018-09-11,0.006619028831924301,long_microcap_short_zz1000,True,1.0,4.1566005996936575
2018-09-12,0.0031362923500067533,long_microcap_short_zz1000,True,1.0,4.16963691435651
2018-09-13,0.0022006888101046788,long_microcap_short_zz1000,True,1.0,4.178812987656134
2018-09-14,-0.0006838565781891789,long_microcap_short_zz1000,True,1.0,4.175955278905503
2018-09-17,-0.0013422092557477169,long_microcap_short_zz1000,True,1.0,4.170350273078568
2018-09-18,0.0008791474855371576,long_microcap_short_zz1000,True,1.0,4.1740166260349545
2018-09-19,0.0009316116790351828,long_microcap_short_zz1000,True,1.0,4.177905188672256
2018-09-20,0.003675173531004961,long_microcap_short_zz1000,True,1.0,4.193259715236712
2018-09-21,-0.0030238521881838284,long_microcap_short_zz1000,True,1.0,4.180579917671171
2018-09-25,0.00046502168673631135,long_microcap_short_zz1000,False,1.0,4.182523977996023
2018-09-26,0.0,cash,False,0.0,4.182523977996023
2018-09-27,0.0,cash,False,0.0,4.182523977996023
2018-09-28,0.0,cash,False,0.0,4.182523977996023
2018-10-08,0.0,cash,False,0.0,4.182523977996023
2018-10-09,0.0,cash,False,0.0,4.182523977996023
2018-10-10,0.0,cash,False,0.0,4.182523977996023
2018-10-11,0.0,cash,False,0.0,4.182523977996023
2018-10-12,0.0,cash,False,0.0,4.182523977996023
2018-10-15,0.0,cash,True,0.0,4.182523977996023
