period,window,threshold,filtered_days_total,observed_days_total,filtered_pct_total,adk_annual_return_pct,adk_annual_vol_pct,adk_sharpe,adk_max_drawdown_pct,combined_annual_return_pct,combined_annual_vol_pct,combined_sharpe,combined_max_drawdown_pct,combined_annual_delta_pct,combined_sharpe_delta,combined_max_drawdown_delta_pct
10年,30,0.25,10733,37220,28.836646963997854,26.78284058219298,18.67885350179346,1.4338589132154933,-19.530217020537435,25.156989995100744,11.429858294905818,2.200988791463231,-11.248441826178345,-0.6547858136344473,-0.029945185078358083,0.4102195835454925
5年,30,0.25,10733,37220,28.836646963997854,34.51129508606352,19.485467874134088,1.7711299163555323,-19.530217020537354,26.347592187438764,12.262631126966884,2.1486083952649846,-11.248441826178324,0.10115849911427688,0.028882430235085188,0.4102195835454765
2年,30,0.25,10733,37220,28.836646963997854,33.78583907719721,20.524848375361465,1.6460944538696114,-14.007014760098215,32.28691065590476,13.797532253064487,2.340049659875498,-11.248441826178409,1.3153182358495137,0.12473905451321521,0.4102195835454374
最长,30,0.3,12102,37220,32.51477700161204,20.123701941770733,18.179823993610192,1.1069250147220222,-37.74618638268704,19.435425602046674,12.327586633627236,1.5765799243325251,-17.350257184443247,-0.9680222447236524,-0.05886441184489999,0.0
10年,30,0.3,12102,37220,32.51477700161204,25.287991000985578,18.35353491677406,1.3778267301452556,-19.510102442989773,24.813292142738174,11.40375286666183,2.175888274050406,-11.248441826178338,-0.9984836659970178,-0.055045702491183235,0.4102195835454996
5年,30,0.3,12102,37220,32.51477700161204,31.728211316132704,19.215866819350964,1.6511465037934916,-19.510102442989815,25.94515658725529,12.242642082744931,2.119244882918125,-11.248441826178391,-0.30127710106919636,-0.0004810821117744446,0.410219583545409
2年,30,0.3,12102,37220,32.51477700161204,30.562332340492304,20.147280201157756,1.5169458128018716,-13.366120778674079,31.79757444472344,13.75312288131111,2.312025764558,-11.248441826178414,0.8259820246681926,0.09671515919571716,0.4102195835454321
最长,30,0.35,13421,37220,36.05857066093498,18.866881449151474,17.86265237018559,1.0562194828715379,-34.01105744066097,19.207186464706027,12.29207478690024,1.5625666779358742,-17.350257184443247,-1.1962613820643,-0.0728776582415509,0.0
10年,30,0.35,13421,37220,36.05857066093498,23.073882260723046,17.996238319940844,1.2821502944399155,-25.40694511740782,24.36548692446232,11.341988644440672,2.1482552741229535,-11.137607584051306,-1.446288884272871,-0.08267870241863573,0.5210538256725314
5年,30,0.35,13421,37220,36.05857066093498,26.307526693893823,18.942535053636735,1.388807074628752,-25.40694511740778,25.1088652427083,12.20879376695704,2.056621294616767,-11.137607584051336,-1.1375684456161856,-0.06310467041313261,0.5210538256724639
2年,30,0.35,13421,37220,36.05857066093498,22.500471750952112,19.78651693864208,1.1371618269514536,-19.63559036098383,30.532620258321398,13.73968170906323,2.2222218028661382,-11.137607584051299,-0.4389721617338509,0.006911197503855604,0.5210538256725474
最长,30,0.4,14752,37220,39.63460505104782,17.91766412868705,17.475273714233268,1.0253152209051504,-29.776951195540825,19.13488584843965,12.277739208636921,1.5585023857632512,-17.350257184443247,-1.268561998330675,-0.07694195041417395,0.0
10年,30,0.4,14752,37220,39.63460505104782,21.023865725540535,17.535660619540057,1.198920655553379,-27.278843879228244,24.00659551104627,11.332094182674467,2.1184606414364016,-11.410784906184366,-1.8051802976889206,-0.11247333510518764,0.24787650353947122
5年,30,0.4,14752,37220,39.63460505104782,22.999149810477327,18.213460566442855,1.2627556266189084,-27.27884387922812,24.521912191207008,12.205910399224527,2.0090195150674663,-11.410784906184299,-1.724521497117479,-0.11070644996243306,0.2478765035395014
2年,30,0.4,14752,37220,39.63460505104782,15.30196070821006,18.297600360271197,0.8362823762089896,-19.502127241087415,29.128237501722065,13.75241875734112,2.1180446884060484,-11.410784906184366,-1.8433549183331834,-0.09726591695623421,0.2478765035394801
最长,40,0.1,6519,37220,17.514777001612035,25.901426148715156,18.766120972729585,1.3802226995314801,-24.901194127166967,19.946354279342906,12.321037876012058,1.6188858828343222,-17.350257184443247,-0.457093567427421,-0.016558453343102908,0.0
10年,40,0.1,6519,37220,17.514777001612035,27.01561151410916,18.48871128229797,1.4611949476422015,-19.297534987456274,24.65146759663568,11.365628542871537,2.168948906226304,-11.02019887519811,-1.1603082120995118,-0.06198507031528511,0.6384625345257273
5年,40,0.1,6519,37220,17.514777001612035,23.208710422869338,18.920346658799183,1.2266535514070929,-19.297534987456316,24.29154942625602,12.23797846988153,1.984931538001895,-11.020198875198135,-1.954884262068468,-0.13479442702800437,0.6384625345256651
2年,40,0.1,6519,37220,17.514777001612035,12.581207621999413,18.675484770346532,0.6736750224538328,-14.148562336771974,29.070418449883473,13.798904158420722,2.1067193536628324,-11.020198875198115,-1.9011739701717758,-0.10859125169945028,0.6384625345257309
最长,40,0.2,9684,37220,26.018269747447608,21.598257785933672,17.8276809790712,1.2115012497300652,-27.549736241066547,19.42243664667935,12.277763274893802,1.5819197855358023,-17.350257184443247,-0.9810112000909754,-0.05352455064162287,0.0
